year,state,rate,deaths
2021,AL,54.9,3361
2021,AK,42.3,253
2021,AZ,36.1,3329
2021,AR,49.9,1841
2021,CA,42.1,18364
2021,CO,35.5,2045
2021,CT,29.5,1444
2021,DE,56.8,756
2021,FL,46.5,15599
2021,GA,47.9,5233
2021,HI,43.8,943
2021,ID,36.8,753
2021,IL,44.1,6766
2021,IN,43.9,3425
2021,IA,33.8,1403
2021,KS,38.4,1365
2021,KY,45.8,2428
2021,LA,52.0,2755
2021,ME,32.5,650
2021,MD,47.3,3413
2021,MA,25.6,2278
2021,MI,46.2,5781
2021,MN,34.5,2384
2021,MS,57.8,1982
2021,MO,41.0,3178
2021,MT,31.2,440
2021,NE,36.5,851
2021,NV,41.7,1443
2021,NH,30.3,548
2021,NJ,32.3,3760
2021,NM,37.2,988
2021,NY,25.7,6685
2021,NC,46.5,5677
2021,ND,29.4,282
2021,OH,49.0,7244
2021,OK,42.5,1929
2021,OR,45.1,2325
2021,PA,37.7,6775
2021,RI,28.8,422
2021,SC,48.3,3070
2021,SD,35.4,392
2021,TN,46.2,3775
2021,TX,43.8,11944
2021,UT,32.4,853
2021,VT,31.9,280
2021,VA,42.1,4117
2021,WA,37.7,3195
2021,WV,41.2,1021
2021,WI,35.9,2640
2021,WY,31.5,217
2020,AL,54.5,3391
2020,AK,34.2,212
2020,AZ,32.7,3227
2020,AR,43.5,1684
2020,CA,39.1,17916
2020,CO,35.9,2191
2020,CT,28.4,1467
2020,DE,52.5,716
2020,FL,43.5,15358
2020,GA,43.0,4821
2020,HI,38.4,835
2020,ID,37.4,772
2020,IL,42.3,6762
2020,IN,40.3,3317
2020,IA,31.9,1408
2020,KS,36.7,1383
2020,KY,42.4,2328
2020,LA,46.6,2566
2020,ME,33.0,694
2020,MD,42.5,3167
2020,MA,24.4,2267
2020,MI,44.5,5874
2020,MN,32.1,2315
2020,MS,54.5,1948
2020,MO,40.3,3275
2020,MT,31.0,453
2020,NE,36.1,879
2020,NV,40.3,1444
2020,NH,29.8,558
2020,NJ,31.8,3725
2020,NM,34.6,934
2020,NY,24.8,6486
2020,NC,44.4,5720
2020,ND,32.1,310
2020,OH,45.3,7053
2020,OK,41.0,1955
2020,OR,40.5,2236
2020,PA,36.7,6940
2020,RI,26.7,406
2020,SC,43.5,2876
2020,SD,35.5,427
2020,TN,43.6,3672
2020,TX,41.1,11667
2020,UT,34.1,917
2020,VT,28.3,263
2020,VA,39.9,4091
2020,WA,34.7,3087
2020,WV,36.7,952
2020,WI,36.4,2827
2020,WY,30.6,221
2019,AL,51.5,3141
2019,AK,34.9,210
2019,AZ,30.2,2851
2019,AR,40.7,1561
2019,CA,37.3,16851
2019,CO,33.7,1990
2019,CT,26.7,1375
2019,DE,45.1,594
2019,FL,40.4,13902
2019,GA,41.9,4539
2019,HI,37.1,807
2019,ID,34.0,683
2019,IL,38.8,6153
2019,IN,41.4,3361
2019,IA,32.1,1412
2019,KS,34.8,1303
2019,KY,42.5,2296
2019,LA,44.1,2386
2019,ME,31.4,643
2019,MD,41.8,3049
2019,MA,26.7,2464
2019,MI,39.3,5178
2019,MN,33.0,2365
2019,MS,52.1,1851
2019,MO,37.7,3031
2019,MT,28.8,413
2019,NE,31.5,769
2019,NV,37.9,1284
2019,NH,28.5,526
