index,datetime,weathersit,temp,atemp,hum,windspeed,registered,cnt
0,2012-05-12 12:00:00,1,0.64,0.6212,0.36,0.1642,353,559
1,2012-09-24 18:00:00,1,0.54,0.5152,0.37,0.1642,758,853
2,2011-03-10 17:00:00,2,0.44,0.4394,0.0,0.3881,109,111
3,2012-08-02 08:00:00,1,0.72,0.6970000000000001,0.74,,718,739
4,2012-11-10 10:00:00,1,0.4,0.4091,0.58,0.0,264,350
5,2011-10-24 02:00:00,1,0.4,0.4091,0.87,0.1045,6,7
6,2012-07-17 05:00:00,1,0.68,0.6364,0.74,0.0896,31,38
7,2012-03-28 00:00:00,1,0.36,0.3333,0.4,0.2836,29,30
8,2012-12-31 16:00:00,2,0.26,0.2576,0.48,0.19399999999999998,184,214
9,2012-04-30 11:00:00,2,0.44,0.4394,0.44,0.1045,111,163
10,2012-07-15 18:00:00,3,0.72,0.6970000000000001,0.79,0.3582,228,312
11,2011-10-05 19:00:00,1,0.58,0.5455,0.56,0.1343,334,374
12,2011-12-15 05:00:00,2,0.32,0.303,0.7,,24,24
13,2011-10-29 06:00:00,3,0.26,0.2273,0.87,0.3582,1,5
14,2012-09-14 15:00:00,2,0.72,0.6667,0.48,0.1343,273,367
15,2012-03-02 06:00:00,1,0.3,0.3333,0.7,,88,92
16,2012-07-23 20:00:00,1,,0.7121,0.62,0.1642,347,403
17,2012-04-07 07:00:00,1,0.32,0.303,0.33,0.2836,40,54
18,2012-12-03 04:00:00,1,0.36,0.3788,0.93,0.0,4,5
19,2012-02-23 07:00:00,1,0.36,0.3485,0.81,0.2239,317,326
20,2011-07-29 04:00:00,1,0.72,0.7121,0.84,0.1343,4,6
21,2011-01-23 09:00:00,1,0.1,0.0758,0.54,0.3582,25,28
22,2012-10-07 20:00:00,1,0.4,0.4091,0.82,0.1343,97,116
23,2011-10-02 19:00:00,2,0.38,0.3939,0.76,0.1642,128,162
24,2011-10-28 14:00:00,2,0.36,0.3485,0.46,0.19399999999999998,152,185
25,2011-08-29 19:00:00,1,0.66,0.6212,0.47,0.2537,317,367
26,2011-01-03 12:00:00,1,0.22,0.2121,0.35,0.2985,48,61
27,2012-10-13 13:00:00,1,0.46,0.4545,0.36,0.19399999999999998,435,670
28,2012-01-13 12:00:00,1,0.24,0.19699999999999998,0.38,0.4925,140,154
29,2011-09-02 10:00:00,2,0.64,0.6061,0.76,0.1642,106,140
30,2011-02-25 07:00:00,3,0.34,0.3333,1.0,0.1343,34,35
31,2011-04-07 13:00:00,2,0.52,0.5,0.48,,99,135
32,2011-03-31 17:00:00,2,0.3,0.2879,0.87,0.2537,153,168
33,2011-05-31 04:00:00,1,0.66,0.6061,0.83,0.0896,3,3
34,2012-01-26 22:00:00,1,0.38,0.3939,0.82,0.1045,139,142
35,2011-04-03 19:00:00,2,0.42,0.4242,0.44,0.19399999999999998,93,144
36,2012-08-28 11:00:00,1,0.78,0.7273,0.55,0.2537,171,218
37,2012-06-15 00:00:00,1,0.6,0.5909,0.73,0.1642,68,94
38,2012-04-12 00:00:00,1,0.32,0.303,0.66,0.2836,22,23
39,2012-12-13 08:00:00,1,0.24,0.2273,0.6,0.19399999999999998,655,679
40,2011-09-22 10:00:00,2,0.64,0.5758,0.89,0.2239,101,120
41,2012-04-05 20:00:00,1,0.44,0.4394,0.41,0.19399999999999998,279,312
42,2011-12-03 00:00:00,1,0.3,0.2879,0.56,0.2537,65,75
43,2012-04-25 22:00:00,1,0.5,0.4848,0.51,0.0,170,192
44,2012-04-12 20:00:00,1,0.44,0.4394,0.33,0.2537,254,280
45,2011-03-22 17:00:00,1,0.5,0.4848,0.42,0.1045,265,307
46,2012-01-10 09:00:00,2,0.18,0.19699999999999998,0.93,0.1642,184,195
47,2011-07-27 07:00:00,1,,0.6667,0.48,0.2537,313,347
48,2012-01-31 20:00:00,1,0.4,0.4091,0.58,0.1045,223,238
49,2012-05-28 13:00:00,1,0.8,0.7879,0.63,0.2836,284,556
50,2011-02-08 01:00:00,2,0.28,0.3182,0.87,0.0,4,4
